county,population,lat,long,aggregate,tz,type,3.20,3.23,3.31,4.20,4.23
Douglas County,571327,41.2915,-96.171,county,America/Chicago,cases,40,50,85,313,327
Adams County,31363,40.5245,-98.501,county,America/Chicago,cases,1,1,3,100,111
Antelope County,6298,42.1765,-98.067,county,America/Chicago,cases,0,0,1,1,1
Arthur County,463,41.569,-101.696,county,America/Denver,cases,0,0,0,0,0
Banner County,745,41.5465,-103.711,county,America/Denver,cases,0,0,0,0,0
Blaine County,465,41.913,-99.9775,county,America/Chicago,cases,0,0,0,0,0
Boone County,5192,41.6985,-98.063,county,America/Chicago,cases,0,0,0,0,0
Box Butte County,10783,42.2205,-103.0715,county,America/Denver,cases,0,0,0,1,1
Boyd County,1919,42.88,-98.781,county,America/Chicago,cases,0,0,0,0,0
Brown County,2955,42.466,-99.9305,county,America/Chicago,cases,0,0,0,0,0
Buffalo County,49659,40.8495,-99.0735,county,America/Chicago,cases,1,2,6,55,70
Burt County,6459,41.865,-96.31,county,America/Chicago,cases,0,0,0,1,1
Butler County,8016,41.251,-97.137,county,America/Chicago,cases,0,0,0,1,1
Cass County,26248,40.925,-96.1365,county,America/Chicago,cases,1,2,2,5,4
Cedar County,8402,42.6095,-97.2505,county,America/Chicago,cases,0,0,0,0,0
Chase County,3924,40.5235,-101.6975,county,America/Denver,cases,0,0,0,0,0
Cherry County,5689,42.5425,-101.1265,county,America/Denver,cases,0,0,0,1,1
Cheyenne County,8910,41.2205,-102.9955,county,America/Denver,cases,0,0,0,4,5
Clay County,6203,40.5245,-98.051,county,America/Chicago,cases,0,0,0,4,4
Colfax County,10709,41.56,-97.08,county,America/Chicago,cases,0,0,0,5,6
Cuming County,8846,41.9165,-96.7875,county,America/Chicago,cases,0,0,0,2,3
Custer County,10777,41.3935,-99.727,county,America/Chicago,cases,0,0,0,20,20
Dakota County,20026,42.4005,-96.5415,county,America/Chicago,cases,0,0,0,51,168
Dawes County,8589,42.719,-103.139,county,America/Denver,cases,0,0,0,0,0
Dawson County,23595,40.859,-99.82,county,America/Chicago,cases,0,1,1,172,256
Deuel County,1794,41.112,-102.3365,county,America/Denver,cases,0,0,0,0,0
Dixon County,5636,42.513,-96.8245,county,America/Chicago,cases,0,0,0,1,1
Dodge County,36565,41.568,-96.6175,county,America/Chicago,cases,0,0,3,18,41
Dundy County,1693,40.1765,-101.6875,county,America/Denver,cases,0,0,0,0,0
Fillmore County,5462,40.5245,-97.5965,county,America/Chicago,cases,0,0,0,0,1
Franklin County,2979,40.1765,-98.9525,county,America/Chicago,cases,0,0,0,3,3
Frontier County,2627,40.5245,-100.381,county,America/Chicago,cases,0,0,0,0,0
Furnas County,4676,40.176,-99.913,county,America/Chicago,cases,0,0,0,2,2
Gage County,21513,40.2625,-96.69,county,America/Chicago,cases,0,0,0,28,28
Garden County,1837,41.6155,-102.3315,county,America/Denver,cases,0,0,0,0,0
Garfield County,1969,41.9145,-98.991,county,America/Chicago,cases,0,0,0,0,0
Gosper County,1990,40.5255,-99.8685,county,America/Chicago,cases,0,0,1,6,8
Grant County,623,41.919,-101.747,county,America/Denver,cases,0,0,0,0,0
Greeley County,2356,41.5675,-98.5215,county,America/Chicago,cases,0,0,0,0,1
Hall County,61353,40.8725,-98.502,county,America/Chicago,cases,0,0,8,531,647
Hamilton County,9324,40.9355,-98.0545,county,America/Chicago,cases,0,0,0,20,28
Harlan County,3380,40.1765,-99.4045,county,America/Chicago,cases,0,0,0,0,0
Hayes County,922,40.5245,-101.061,county,America/Chicago,cases,0,0,0,0,0
Hitchcock County,2762,40.1765,-101.042,county,America/Chicago,cases,0,0,0,0,0
Holt County,10067,42.492,-98.7785,county,America/Chicago,cases,0,0,0,0,0
Hooker County,682,41.916,-101.1345,county,America/Denver,cases,0,0,0,0,0
Howard County,6445,41.22,-98.518,county,America/Chicago,cases,0,0,0,0,0
Jefferson County,7046,40.1755,-97.1425,county,America/Chicago,cases,0,0,0,0,0
Johnson County,5071,40.3925,-96.2655,county,America/Chicago,cases,0,0,0,2,2
Kearney County,6495,40.52,-98.9515,county,America/Chicago,cases,0,0,1,4,4
Keith County,8034,41.1995,-101.653,county,America/Denver,cases,0,0,0,0,0
Keya Paha County,806,42.8585,-99.726,county,America/Chicago,cases,0,0,0,0,0
Kimball County,3632,41.198,-103.715,county,America/Denver,cases,0,0,1,10,9
Knox County,8332,42.66,-97.8975,county,America/Chicago,cases,2,2,2,1,2
Lancaster County,319090,40.7845,-96.6885,county,America/Chicago,cases,1,2,8,87,106
Lincoln County,34914,41.0465,-100.7465,county,America/Chicago,cases,3,3,5,18,18
Logan County,748,41.5665,-100.483,county,America/Chicago,cases,0,0,0,0,0
Loup County,664,41.914,-99.4545,county,America/Chicago,cases,0,0,0,1,1
Madison County,35099,41.9165,-97.6015,county,America/Chicago,cases,0,1,2,11,44
McPherson County,494,41.5685,-101.0595,county,America/Chicago,cases,0,0,0,0,0
Merrick County,7755,41.132,-97.9425,county,America/Chicago,cases,0,0,0,9,9
Morrill County,4642,41.7215,-103.003,county,America/Denver,cases,0,0,0,1,1
Nance County,3519,41.3955,-97.9975,county,America/Chicago,cases,0,0,0,1,1
Nemaha County,6972,40.412,-95.809,county,America/Chicago,cases,1,1,1,1,1
Nuckolls County,4148,40.1765,-98.0475,county,America/Chicago,cases,0,0,0,0,0
Otoe County,16012,40.6535,-96.087,county,America/Chicago,cases,0,0,0,1,1
Pawnee County,2613,40.131,-96.237,county,America/Chicago,cases,0,0,0,0,0
Perkins County,2891,40.851,-101.65,county,America/Denver,cases,0,0,0,0,0
Phelps County,9034,40.518,-99.411,county,America/Chicago,cases,0,0,0,1,1
Pierce County,7148,42.2645,-97.6015,county,America/Chicago,cases,0,0,0,1,1
Platte County,33470,41.538,-97.541,county,America/Chicago,cases,0,0,1,7,11
Polk County,5213,41.2215,-97.598,county,America/Chicago,cases,0,0,0,6,6
Red Willow County,10724,40.1765,-100.4775,county,America/Chicago,cases,0,0,0,1,1
