Location,Latitude,Longitude,1,2,3,4,5,6,7,8
Hubei,30.737812,112.238403,7153,7153,7153,7153,9074,11177,13522,16678
Zhejiang,29.159849,120.326447,599,599,599,599,661,724,829,895
Guangdong,23.379032,113.763283,520,520,520,520,604,683,797,870
Henan,33.875408,113.484016,422,422,422,422,493,566,675,764
Hunan,36.734131,95.934486,389,389,389,389,463,521,593,661
Anhui,30.6007,117.9249,297,297,297,297,340,408,480,530
Jiangxi,27.0875,114.9042,286,286,286,286,333,391,476,548
Chongqing,29.4316,106.9123,238,238,238,238,262,300,337,366
Jiangsu,33.1402,119.7889,207,207,207,207,236,271,308,341
Sichuan,30.2638,102.8055,202,202,202,202,231,254,282,301
Shandong,35.894,117.9249,202,202,202,202,225,246,270,298
Beijing,39.9042,116.4074,156,156,156,156,183,212,228,253
Shanghai,31.2304,121.4737,153,153,153,153,177,193,208,233
Fujian,26.4837,117.9249,144,144,144,144,159,179,194,205
Heilongjiang,47.1216,128.7382,101,101,101,101,116,128,155,190
Shaanxi,35.394,109.188,100,100,100,100,111,127,142,165
Guangxi,23.7248,108.8076,96,96,96,96,104,118,139,150
Hebei,37.8957,114.9042,91,91,91,91,99,113,126,135
Yunnan,24.4753,101.3431,80,80,80,80,95,109,117,122
Hainan,19.5664,109.9497,60,60,60,60,64,70,79,89
Liaoning,41.9437,122.529,57,57,57,57,63,70,74,81
Shanxi,37.2426,111.8569,47,47,47,47,56,66,74,81
Tianjin,39.3434,117.3616,35,35,35,35,45,51,63,67
Gansu,35.7518,104.2861,34,34,34,34,40,49,56,57
Guizhou,26.843,107.2903,29,29,29,29,38,46,56,64
Jilin,43.152,126.4371,26,26,26,26,28,33,42,54
Inner Mongolia,43.3782,115.0595,23,23,23,23,26,31,37,42
Ningxia,37.1987,106.1581,18,18,18,18,23,31,34,34
Xinjiang,42.5246,87.5396,17,17,17,17,21,24,29,32
Hong Kong SAR,22.3193,114.1694,13,13,13,13,14,15,15,18
Qinghai,35.7448,96.4077,10,10,10,10,10,13,15,17
Taipei,25.033,121.5654,8,8,8,8,9,10,10,11
Macao SAR,22.1987,113.5439,7,7,7,7,7,8,8,10
Xizang,30.1534,88.7879,1,1,1,1,1,1,1,1
